especie;cenario;mlp;glmnet;brt;consenso
species;presente;0.225;0;0;0.075
species;presente;0.65;0;0;0.21666666666666667
species;presente;0.675;0;0;0.225
species;presente;0.75;0;0;0.25
species;presente;0.7;0;0;0.2333333333333333
species;presente;0.6;0;0;0.19999999999999998
species;presente;0.375;0;0;0.125
species;presente;0.3;0;0;0.09999999999999999
species;presente;0.425;0;0;0.14166666666666666
species;presente;0.475;0;0;0.15833333333333333
species;presente;0.525;0;0;0.17500000000000002
species;presente;0.425;0;0;0.14166666666666666
species;presente;0.4;0;0;0.13333333333333333
species;presente;0.175;0;0;0.05833333333333333
species;presente;0.075;0;0;0.024999999999999998
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.075;0;0;0.024999999999999998
species;presente;0.1;0;0;0.03333333333333333
species;presente;0.25;0;0;0.08333333333333333
species;presente;0.325;0;0;0.10833333333333334
species;presente;0.45;0;0;0.15
species;presente;0.45;0;0;0.15
species;presente;0.475;0;0;0.15833333333333333
species;presente;0.4;0;0;0.13333333333333333
species;presente;0.4;0;0;0.13333333333333333
species;presente;0.4;0;0;0.13333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0;0;0;0
species;presente;0;0;0;0
species;presente;0.125;0;0;0.041666666666666664
species;presente;0.25;0;0;0.08333333333333333
species;presente;0.4;0;0;0.13333333333333333
species;presente;0.475;0.075;0;0.18333333333333332
species;presente;0.525;0.075;0;0.19999999999999998
species;presente;0.525;0;0;0.17500000000000002
species;presente;0.475;0;0.025;0.16666666666666666
species;presente;0.45;0.2;0;0.21666666666666667
species;presente;0.45;0.4;0;0.2833333333333334
species;presente;0.45;0.55;0;0.3333333333333333
species;presente;0.45;0.6;0;0.35000000000000003
species;presente;0.225;0.55;0;0.25833333333333336
species;presente;0.25;0.65;0;0.3
species;presente;0.275;0.925;0;0.4000000000000001
species;presente;0.3;0.925;0;0.4083333333333334
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0;0;0;0
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.075;0;0;0.024999999999999998
species;presente;0.15;0;0;0.049999999999999996
species;presente;0.15;0;0;0.049999999999999996
species;presente;0.2;0;0;0.06666666666666667
species;presente;0.275;0;0;0.09166666666666667
species;presente;0.2;0;0;0.06666666666666667
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.075;0;0;0.024999999999999998
species;presente;0.4;0;0;0.13333333333333333
species;presente;0.65;0;0;0.21666666666666667
species;presente;0.725;0;0;0.24166666666666667
species;presente;0.525;0;0;0.17500000000000002
species;presente;0.475;0;0;0.15833333333333333
species;presente;0.35;0;0;0.11666666666666665
species;presente;0.325;0;0;0.10833333333333334
species;presente;0.275;0;0;0.09166666666666667
species;presente;0.275;0;0;0.09166666666666667
species;presente;0.225;0;0;0.075
species;presente;0.125;0;0;0.041666666666666664
species;presente;0;0;0;0
species;presente;0.05;0;0;0.016666666666666666
species;presente;0;0;0;0
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.075;0;0;0.024999999999999998
species;presente;0.075;0;0;0.024999999999999998
species;presente;0.125;0;0;0.041666666666666664
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.2;0;0;0.06666666666666667
species;presente;0.25;0;0;0.08333333333333333
species;presente;0.25;0;0;0.08333333333333333
species;presente;0.25;0;0;0.08333333333333333
species;presente;0.175;0;0;0.05833333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.175;0;0;0.05833333333333333
species;presente;0.25;0;0;0.08333333333333333
species;presente;0.3;0;0;0.09999999999999999
species;presente;0.325;0;0;0.10833333333333334
species;presente;0.475;0.025;0;0.16666666666666666
species;presente;0.475;0.075;0;0.18333333333333332
species;presente;0.45;0.075;0;0.17500000000000002
species;presente;0.375;0.075;0;0.15
species;presente;0.45;0.15;0;0.19999999999999998
species;presente;0.4;0.15;0;0.18333333333333335
species;presente;0.275;0.375;0;0.21666666666666667
species;presente;0.375;0.475;0;0.2833333333333333
species;presente;0.275;0.925;0;0.4000000000000001
species;presente;0.325;0.95;0;0.425
species;presente;0.275;0.925;0;0.4000000000000001
species;presente;0.075;0.15;0;0.075
species;presente;0.075;0.15;0;0.075
species;presente;0.075;0.025;0;0.03333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.1;0;0;0.03333333333333333
species;presente;0.1;0;0;0.03333333333333333
species;presente;0.125;0;0;0.041666666666666664
species;presente;0.1;0;0;0.03333333333333333
species;presente;0.1;0;0;0.03333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.025;0;0;0.008333333333333333
species;presente;0.375;0;0;0.125
species;presente;0.575;0.025;0;0.19999999999999998
species;presente;0.7;0.05;0;0.25
species;presente;0.725;0.025;0;0.25
species;presente;0.625;0;0;0.20833333333333334
species;presente;0.6;0;0;0.19999999999999998
species;presente;0.55;0;0;0.18333333333333335
species;presente;0.25;0;0;0.08333333333333333
species;presente;0.05;0;0;0.016666666666666666
species;presente;0.125;0;0;0.041666666666666664
